"","Precinct","RegisteredVoters","BallotsCast","Turnout","Bill Schuette / Lisa Posthumus Lyons (REP)","Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
","Bill Gelineau / Angelique Chaiser Thomas (LIB)","Todd Schleiger / Earl P. Lackie (UST)","Jennifer V. Kurland / Charin H. Davenport (GRN)","Keith Butkovich / Raymond Warner (NLP)","Mary Treder Lang (REP)","Jocelyn Benson (DEM)","Gregory Scott Stempfle (LIB)","Robert Gale (UST)","Tom Leonard (REP)","Dana Nessel (DEM)","Lisa Lane Gioia (LIB)","Gerald T. Van Sickle (UST)","Chris Graveline (NPA)","John James (REP)","Debbie Stabenow (DEM)","George E. Huffman III (UST)","Marcia Squier (GRN)","John Howard Wilhelm (NLP)","Bill Huizenga (REP)","Rob Davidson (DEM)","Ronald E. Graeser (UST)","Justin Amash (REP)","Cathy Albro (DEM)","Ted Gerrard (UST)","Aric Nesbitt (REP)","Garnet Lewis (DEM)","Erwin Haas (LIB)","Robert M. Alway (GRN)","Peter MacGregor (REP)","Craig Beach (DEM)","Nathan Hewer (LIB)","Chris Afendoulis (REP)","Winnie Brinks (DEM)","Robert VanNoller (LIB)","Louis Palus (WCP)","Steven Johnson (REP)","Ron Draayer (DEM)","Jamie Lewis (LIB)","Lynn Afendoulis (REP)","Bill Saxton (DEM)","Mark E. Huizenga (REP)","Meagan L. Carr (DEM)","Daniel Allen Schutte (REP)","David LaGrand (DEM)","Jacob Straley (GRN)","Amanda Brand (REP)","Rachel Hood (DEM)","Tommy Brann (REP)","Dana Knight (DEM)","Patty Malowney (LIB)","Brandon Hoezee (UST)","Thomas A. Albert (REP)","Lauren Taylor (DEM)","Sue Norman (NPA)","Tami Carlone (REP)","Richard Zeile (REP)","Judith P. Pritchett (DEM)","Tiffany Tilley (DEM)","Scotty Boman (LIB)","John J. Tatar (LIB)","Karen Adams (UST)","Douglas Levesque (UST)","Sherry A. Wells (GRN)","Mary Anne Hering (WCP)","Logan R. Smith (WCP)","AndreaFischer
          Newman  (REP)
","Andrew
          Richner (REP)
","Jordan
          Acker (DEM)
","Paul
          Brown (DEM)
","JamesLewis
          Hudler (LIB)
","John
          Jascob (LIB)
","Joe
          Sanger (UST)
","CrystalVan
          Sickle (UST)
","KevinA.
          Graves (GRN)
","MargeKatchmark
          Sallows (NLP)
","Dave
            Dutch (REP)
","Mike
            Miller (REP)
","BriannaT.
            Scott (DEM)
","KellyCharron
            Tebay  (DEM)
","Bruce
            Campbell  (LIB)
","Tim
            Orzechowski  (LIB)
","JanetM.
            Sanger  (UST)
","JohnPaul
            Sanger  (UST)
","Aaron
            Mariasy  (GRN)
","BridgetteR.
            Abraham-Guzman (NLP)
","Diane
           Dunaskiss (REP)
","David
           Nicholson (REP)
","BryanC.
           Barnhill (DEM)
","Anil
           Kumar (DEM)
","Jon
           Elgas  (LIB)
","JohnT.
           Hargenrader  (LIB)
","ChristineC.
           Schwartz (UST)
","MarcJoseph
           Sosnowski  (UST)
","TheodoreVonk  (REP)","DeborahHavens  (DEM)","EmilyPostBrieve  (REP)","JimSaalfeld  (REP)","AugustTreu  (DEM)","JillMartinez  (REP)","MonicaSparks  (DEM)","CharlotteAikens  (GRN)","JessicaAnnTyson  (REP)","BetsyMelton   (DEM)","KyleBrethauer  (REP)","CarolM.Hennessy  (DEM)","JoelHerbertTownsend  (REP)","JimTalen  (DEM)","JennaVandeKamp  (REP)","DavidBulkowski  (DEM)","CourtneyPanter  (REP)","RobertWomack  (DEM)","DanKoorndyk  (REP)","StephenWooden  (DEM)","LaurelAbraham  (REP)","PhilSkaggs  (DEM)","ThomasAntor  (REP)","JeremiahAnway  (DEM)","RogerC.Morgan  (REP)","DianeJones  (REP)","KariSmith  (DEM)","MandyBolter  (REP)","NevilleJ.Mark  (DEM)","StanStek  (REP)","PamDeGryse  (DEM)","StanPonstein  (REP)","MikeJohnson  (DEM)","HaroldVoorhees  (REP)","MattKallman  (REP)","BobSmith  (DEM)"
"35","Cannon Township Precinct 1",2060,1524,"73%",911,565,22,1,9,4,913,533,33,9,935,484,27,3,25,940,535,5,22,1,NA,NA,NA,995,457,28,NA,NA,NA,NA,924,527,31,NA,NA,NA,NA,NA,NA,NA,988,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844,776,454,410,37,31,14,5,22,27,13,817,769,412,376,28,35,11,23,31,23,791,764,426,402,37,30,21,11,21,13,804,739,373,364,38,29,30,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897,467,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Cannon Township Precinct 2",1931,1341,"69%",799,487,27,6,9,1,812,456,34,12,828,409,36,8,23,842,470,5,14,0,NA,NA,NA,875,416,25,NA,NA,NA,NA,835,446,28,NA,NA,NA,NA,NA,NA,NA,895,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,693,380,354,46,37,14,7,18,37,26,710,677,342,338,34,34,20,25,19,24,687,675,376,328,40,30,28,18,19,20,711,644,337,310,38,34,42,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832,407,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Cannon Township Precinct 3",1591,1175,"73%",656,473,24,5,6,0,658,453,30,6,682,408,31,3,11,685,466,2,9,3,NA,NA,NA,701,411,27,NA,NA,NA,NA,664,451,30,NA,NA,NA,NA,NA,NA,NA,699,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,559,392,378,38,22,11,5,16,25,11,580,552,361,342,30,32,16,18,12,12,565,559,379,349,28,23,18,10,10,9,569,525,355,342,32,27,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681,386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Cannon Township Precinct 4",2241,1608,"71%",963,610,15,2,3,2,959,577,27,9,1003,518,22,4,17,992,580,2,9,5,NA,NA,NA,1035,503,29,NA,NA,NA,NA,970,564,21,NA,NA,NA,NA,NA,NA,NA,1052,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881,837,485,472,44,34,12,6,17,19,19,873,828,437,405,37,35,9,23,28,21,832,832,461,425,37,36,21,20,9,11,868,803,416,392,45,37,27,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,964,498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cannon Township Precinct 5",1562,1147,"73%",738,374,16,2,6,1,722,366,23,9,731,334,23,9,16,750,363,10,6,2,NA,NA,NA,751,323,30,NA,NA,NA,NA,752,335,21,NA,NA,NA,NA,NA,NA,NA,772,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,637,292,270,34,22,16,7,12,20,15,639,617,262,243,28,25,11,32,12,17,622,630,295,243,32,30,16,8,9,12,639,595,242,224,32,27,32,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,305,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Cannon Township Precinct 6",1862,1343,"72%",802,492,17,3,12,2,825,454,22,9,837,415,25,5,17,822,490,4,11,2,NA,NA,NA,853,422,32,NA,NA,NA,NA,850,422,28,NA,NA,NA,NA,NA,NA,NA,870,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,659,374,349,46,28,26,13,26,34,33,675,654,341,327,27,35,17,32,30,23,658,659,373,331,41,35,20,13,15,16,659,620,342,311,34,24,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797,390,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Cascade Charter Township Precinct 1",1348,1041,"77%",616,409,2,1,3,0,635,373,12,3,651,327,11,5,16,624,401,4,3,0,NA,NA,NA,666,339,12,NA,NA,NA,NA,NA,NA,NA,666,331,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,337,21,585,568,332,303,19,14,12,3,10,11,4,599,566,288,278,16,15,8,19,10,5,577,577,314,274,19,11,14,8,7,6,586,550,267,274,21,13,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657,306,NA,NA,NA,NA,NA,NA,NA
"42","Cascade Charter Township Precinct 2",1661,1245,"74%",697,527,15,1,0,0,704,500,19,1,714,460,20,1,20,706,517,2,9,0,NA,NA,NA,747,452,20,NA,NA,NA,NA,NA,NA,NA,760,448,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,456,29,652,628,448,392,42,30,4,4,3,14,4,663,622,382,376,29,27,7,16,9,7,630,617,424,376,36,27,14,9,5,5,637,597,366,348,39,29,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722,400,NA,NA,NA,NA,NA,NA,NA
"43","Cascade Charter Township Precinct 3",1105,849,"76%",447,376,13,0,7,0,456,365,11,3,459,340,11,2,12,479,358,3,2,1,NA,NA,NA,499,323,9,NA,NA,NA,NA,NA,NA,NA,486,330,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,331,22,440,402,301,300,25,10,9,6,16,13,4,431,401,287,276,15,14,10,11,17,7,405,413,303,289,14,11,11,9,10,10,424,378,267,264,21,16,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,295,NA,NA,NA,NA,NA,NA,NA
"44","Cascade Charter Township Precinct 4",1619,1263,"78%",666,556,25,2,2,2,687,526,21,2,678,499,26,4,11,697,541,1,8,2,NA,NA,NA,743,484,8,NA,NA,NA,NA,NA,NA,NA,706,496,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678,508,26,643,593,447,422,41,33,12,3,15,18,10,635,586,390,390,30,36,5,13,20,15,585,587,428,400,39,29,17,6,14,11,607,546,379,376,37,40,21,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,422,NA,NA,NA,NA,NA,NA,NA
"45","Cascade Charter Township Precinct 5",2259,1714,"75%",1012,664,14,2,2,1,1023,624,22,12,1039,569,25,9,25,1053,636,2,6,3,NA,NA,NA,1080,574,19,NA,NA,NA,NA,NA,NA,NA,1062,589,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011,585,49,964,872,533,503,54,32,18,7,17,23,9,947,885,494,449,30,31,14,22,21,14,914,892,523,482,39,29,24,13,18,13,916,859,477,450,49,33,29,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,515,NA,NA,NA,NA,NA,NA,NA
"46","Cascade Charter Township Precinct 6",1465,1097,"74%",514,538,21,6,5,1,531,519,19,5,550,454,21,5,28,545,521,7,10,1,NA,NA,NA,589,449,25,NA,NA,NA,NA,NA,NA,NA,551,487,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,473,41,482,460,425,410,31,19,17,7,27,14,16,479,453,397,382,30,22,14,27,17,12,455,467,429,389,29,20,17,12,13,7,477,420,388,366,31,28,29,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,422,NA,NA,NA,NA,NA,NA,NA
"47","Cascade Charter Township Precinct 7",1187,792,"66%",423,340,16,3,4,0,434,329,13,4,440,304,15,4,4,425,341,3,7,3,NA,NA,NA,442,311,14,NA,NA,NA,NA,NA,NA,NA,438,310,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,306,21,397,356,282,248,17,13,14,8,15,8,2,385,351,264,250,16,17,4,14,10,5,364,375,265,251,20,12,13,7,10,8,379,358,246,237,16,12,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421,283,NA,NA,NA,NA,NA,NA,NA
"48","Cascade Charter Township Precinct 8",1292,1035,"80%",502,504,13,3,4,1,509,488,14,5,516,458,15,3,16,516,494,2,9,6,NA,NA,NA,545,449,16,NA,NA,NA,NA,NA,NA,NA,533,467,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,455,24,473,433,432,405,42,23,9,3,20,13,11,467,434,393,368,22,24,10,14,29,16,433,431,427,382,31,30,19,11,12,8,451,404,372,367,30,26,25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,414,NA,NA,NA,NA,NA,NA,NA
"49","Cascade Charter Township Precinct 9",1392,1098,"78%",578,489,15,1,3,1,585,465,24,5,625,408,17,2,17,605,464,6,8,2,NA,NA,NA,626,413,22,NA,NA,NA,NA,NA,NA,NA,611,433,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,429,22,549,523,388,363,39,25,5,6,12,12,6,541,509,342,331,22,22,11,18,15,16,516,524,372,346,29,21,12,1,10,8,539,479,335,322,33,29,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,373,NA,NA,NA,NA,NA,NA,NA
"50","Cascade Charter Township Precinct 10",1318,974,"73%",561,378,18,5,3,1,564,361,20,7,587,320,25,8,5,597,356,1,8,1,NA,NA,NA,608,329,11,NA,NA,NA,NA,NA,NA,NA,589,334,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581,330,19,526,498,300,290,26,19,11,4,12,17,8,515,495,277,272,21,19,7,16,15,8,489,508,298,270,28,22,13,9,10,9,494,493,262,254,26,26,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,303,NA,NA,NA,NA,NA,NA,NA
"51","Cedar Springs Precinct 1",2310,1087,"47%",599,417,30,12,9,2,582,416,35,21,606,349,40,17,29,626,401,9,18,9,NA,NA,NA,656,358,34,NA,NA,NA,NA,621,371,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,632,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524,448,315,317,48,38,24,9,16,46,28,503,458,313,284,29,31,21,41,17,23,475,465,327,284,44,23,39,20,15,19,479,456,323,254,38,27,46,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Courtland Township Precinct 1",2011,1433,"71%",840,545,20,8,6,1,830,535,26,7,855,482,27,6,17,846,555,8,4,1,NA,NA,NA,898,476,20,NA,NA,NA,NA,853,513,20,NA,NA,NA,NA,NA,NA,NA,891,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738,665,444,423,50,24,23,14,17,27,29,717,678,408,380,36,29,22,32,24,15,707,667,421,391,43,30,30,20,14,11,707,651,393,368,44,30,35,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Courtland Township Precinct 2",2201,1518,"68%",952,500,22,11,8,3,975,453,25,22,959,410,33,15,35,967,486,13,14,6,NA,NA,NA,1012,420,35,NA,NA,NA,NA,969,444,36,NA,NA,NA,NA,NA,NA,NA,1011,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,767,393,358,50,36,18,14,27,39,27,807,760,355,340,30,36,26,35,24,16,792,770,374,345,38,31,36,21,21,18,800,733,354,305,45,36,40,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Courtland Township Precinct 3",2268,1427,"62%",888,487,18,7,8,4,883,473,25,13,920,402,28,12,20,906,478,7,9,5,NA,NA,NA,943,412,29,NA,NA,NA,NA,903,440,29,NA,NA,NA,NA,NA,NA,NA,932,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,741,394,372,41,28,20,12,17,29,25,774,727,348,344,28,35,17,32,24,20,738,757,368,342,31,28,27,15,26,19,758,725,346,312,36,24,50,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","East Grand Rapids Ward 1 Precinct 1",1509,1137,"75%",415,692,10,1,3,1,428,678,16,1,451,639,10,1,13,443,676,1,4,0,NA,NA,NA,455,651,9,NA,NA,NA,NA,NA,NA,NA,460,650,5,2,NA,NA,NA,474,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,376,612,584,23,10,3,2,9,12,5,401,371,568,540,18,13,5,5,17,9,379,362,581,568,19,13,7,1,14,8,385,359,530,544,21,18,13,2,NA,NA,NA,450,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","East Grand Rapids Ward 1 Precinct 2",1476,1134,"76%",476,629,14,1,4,0,492,614,13,2,507,568,13,2,17,508,615,2,3,1,NA,NA,NA,498,598,17,NA,NA,NA,NA,NA,NA,NA,494,590,11,5,NA,NA,NA,515,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,419,551,531,26,22,11,3,15,13,6,451,417,515,502,26,20,7,13,14,12,406,421,534,516,27,19,13,8,13,15,420,400,487,481,25,25,22,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","East Grand Rapids Ward 2 Precinct 3",1514,1116,"73%",404,689,8,0,3,0,429,653,8,1,441,604,12,2,19,446,657,0,4,0,NA,NA,NA,459,630,7,NA,NA,NA,NA,NA,NA,NA,452,625,5,1,NA,NA,NA,477,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,365,574,545,28,13,7,3,17,8,9,397,355,524,512,11,9,5,14,25,15,369,369,551,527,18,9,9,9,14,8,372,344,506,512,13,11,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","East Grand Rapids Ward 2 Precinct 4",1391,1052,"75%",363,664,10,2,3,0,385,623,22,2,388,594,22,3,14,389,643,4,4,1,NA,NA,NA,418,601,11,NA,NA,NA,NA,NA,NA,NA,387,626,13,1,NA,NA,NA,413,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,312,552,512,31,18,8,2,21,24,25,338,316,523,493,22,26,9,8,29,12,300,324,546,517,30,19,12,6,25,8,326,288,503,510,26,21,21,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","East Grand Rapids Ward 3 Precinct 5",1476,1091,"73%",364,705,14,1,4,0,370,678,17,3,385,638,19,1,18,394,685,2,6,1,NA,NA,NA,421,660,3,NA,NA,NA,NA,NA,NA,NA,398,671,3,1,NA,NA,NA,427,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,333,608,554,20,12,4,3,14,15,9,363,317,549,545,18,16,5,6,19,14,319,337,574,545,21,16,9,3,14,9,341,313,510,529,19,15,18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","East Grand Rapids Ward 3 Precinct 6",1506,1125,"74%",341,759,11,0,6,0,344,734,12,3,377,685,11,3,15,381,726,1,7,0,NA,NA,NA,401,696,7,NA,NA,NA,NA,NA,NA,NA,375,713,5,2,NA,NA,NA,398,691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,309,652,610,29,15,4,1,15,14,10,342,298,583,575,16,12,5,10,21,14,295,308,620,601,22,13,3,3,14,5,311,285,560,570,19,16,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Gaines Charter Township Precinct 1",2081,1502,"72%",1077,386,15,7,12,1,1082,350,26,15,1079,327,28,8,14,1106,367,7,12,1,NA,NA,NA,1122,313,27,1091,323,17,9,NA,NA,NA,NA,NA,NA,NA,1101,314,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,996,952,290,261,45,26,10,8,12,38,22,948,932,259,250,29,30,20,29,16,11,943,927,270,264,34,25,27,18,17,11,956,900,249,237,35,23,36,14,NA,NA,1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Gaines Charter Township Precinct 2",1630,1069,"65%",602,441,19,2,0,2,608,417,21,4,628,382,20,3,15,641,408,3,9,2,NA,NA,NA,659,374,15,618,380,22,5,NA,NA,NA,NA,NA,NA,NA,609,378,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581,520,345,333,28,22,7,1,13,15,11,558,514,333,308,20,20,7,14,12,6,533,534,354,305,31,18,12,5,5,5,559,508,321,287,26,13,12,3,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Gaines Charter Township Precinct 3",2172,1272,"58%",793,428,23,7,6,2,794,409,33,12,807,374,30,9,19,841,387,13,10,8,NA,NA,NA,843,371,28,809,384,30,10,NA,NA,NA,NA,NA,NA,NA,809,377,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,714,691,321,296,42,31,17,7,17,37,29,701,681,314,305,31,26,15,23,15,18,686,683,327,296,42,27,24,20,10,12,694,644,326,281,36,29,28,19,NA,NA,933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Gaines Charter Township Precinct 4",2879,1178,"40%",513,579,32,14,22,3,524,566,36,26,531,522,36,19,33,534,573,19,21,13,NA,NA,NA,555,539,48,530,544,42,15,NA,NA,NA,NA,NA,NA,NA,526,544,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,408,454,445,39,28,22,12,19,60,45,451,408,469,439,29,34,20,43,23,12,412,424,491,434,48,18,41,25,14,21,445,397,467,416,49,31,51,21,NA,NA,757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Gaines Charter Township Precinct 5",1905,937,"49%",347,556,13,3,10,2,358,537,19,7,377,486,21,10,17,376,530,5,15,3,NA,NA,NA,386,508,21,361,503,19,13,NA,NA,NA,NA,NA,NA,NA,360,506,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,284,435,426,29,21,19,11,18,32,25,317,278,432,405,24,24,19,22,18,11,294,279,446,397,30,28,21,15,13,15,315,271,426,384,32,22,26,14,NA,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Gaines Charter Township Precinct 6",1965,1385,"70%",911,440,14,5,2,2,937,402,20,4,951,363,25,10,14,953,408,7,3,2,NA,NA,NA,972,357,28,933,379,19,12,NA,NA,NA,NA,NA,NA,NA,924,379,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,787,354,341,45,28,24,11,10,22,16,808,792,331,307,30,28,16,32,13,12,796,794,347,318,35,24,17,13,10,13,805,749,314,297,34,23,39,24,NA,NA,1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Gaines Charter Township Precinct 7",2566,1811,"70%",1151,604,22,9,7,2,1151,588,33,7,1194,496,41,10,22,1174,599,8,12,0,NA,NA,NA,1252,485,31,1172,538,32,10,NA,NA,NA,NA,NA,NA,NA,1174,527,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082,1009,488,450,49,33,16,6,18,38,26,1052,1013,464,426,44,34,10,23,28,20,1026,1024,476,430,54,26,26,11,19,15,1063,985,451,396,44,32,38,18,NA,NA,1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
